0. game url (inaccuracies; mistakes; blunders)
1. https://lichess.org/Ufg1iCSb (11; 4; 1) (1st game vs. me)
2. https://lichess.org/chK57JoB (0; 0; 0) (2nd game vs. me)
3. https://lichess.org/wZvvYZzz (0; 0; 0)
4. https://lichess.org/Pk0ZedGp (0; 0; 0)
5. https://lichess.org/YCFap0eA (1; 0; 0)
6. https://lichess.org/P3d6U5gq (0; 0; 0)
7. https://lichess.org/vt4LzDX9 (0; 0; 0)
8. https://lichess.org/M8lAazwB (1; 0; 0)
9. https://lichess.org/k5vljE43 (0; 0; 0)
10. https://lichess.org/RdGYApCl (0; 0; 0)
11. https://lichess.org/UKA8WiG2 (0; 0; 0)
12. https://lichess.org/R6jSNseg (0; 0; 0)
13. https://lichess.org/PGL96zS1 (0; 0; 0) (53 moves; 1 centipawn loss)
14. https://lichess.org/W10aEDBQ (0; 0; 0)
15. https://lichess.org/7QfSwaPN (0; 0; 0)
16. https://lichess.org/M1Xsye2w (0; 0; 0)
17. https://lichess.org/dDwr2qoU (0; 0; 0)
18. https://lichess.org/cQaGTfyI (1; 0; 0)
19. https://lichess.org/iJ2VxwMU (0; 0; 0)
20. https://lichess.org/n5JMvcON (0; 1; 0)
21. https://lichess.org/83joXTyx (1; 0; 0)
22. https://lichess.org/gD4uwQ5R (1; 0; 0)
23. https://lichess.org/IybghnbP (0; 0; 0)
24. https://lichess.org/TUfdPtRL (1; 1; 0)
25. https://lichess.org/JrdzQS14 (0; 0; 0)
26. https://lichess.org/TY0XZifG (0; 1; 0)
27. https://lichess.org/zVCHE4uy (0; 0; 0)
28. https://lichess.org/UIe7CISt (0; 0; 0)
29. https://lichess.org/cGxkINz4 (0; 0; 0)
30. https://lichess.org/ARmSV4Zu (0; 0; 0)
31. https://lichess.org/l56um1KS (0; 0; 0)
32. https://lichess.org/OFdcywJH (1; 1; 0)
33. https://lichess.org/4YClgKY2 (2; 0; 0)
34. https://lichess.org/t3pDaX8I (0; 0; 0)
